from,to,references
1353338831,1263639526,5
1237744593,1263639526,5
1470890345,1263639526,2
1123462974,1263639526,1
1454358125,1263639526,4
1708519909,1263639526,1
1591829308,1263639526,1
1472374861,1263639526,3
1304308741,1263639526,1
1596389577,1263639526,2
1783583457,1263639526,1
1680900472,1263639526,1
1543164824,1263639526,26
1218590505,1263639526,1
1795265206,1263639526,2
1416713361,1263639526,1
1215855026,1263639526,4
1476242950,1263639526,1
1179424306,1263639526,1
1413903316,1263639526,2
1246384689,1263639526,4
1343351768,1263639526,4
1320240409,1263639526,1
1399695978,1263639526,1
1461320425,1263639526,6
1820248920,1263639526,1
1576573708,1263639526,1
1591282556,1263639526,1
1166506873,1263639526,2
1887764092,1263639526,1
1220016457,1263639526,14
1230190290,1263639526,2
1221490296,1263639526,4
1511938993,1263639526,1
1228474199,1263639526,1
1769290763,1263639526,1
1769209859,1263639526,1
1485775180,1263639526,1
1227831554,1263639526,1
1712807576,1263639526,1
1562023842,1263639526,2
1476544117,1263639526,1
1667470730,1263639526,5
1391544796,1263639526,13
1435609646,1263639526,3
1750557911,1263639526,1
1449700943,1263639526,1
1383999758,1263639526,1
1319860476,1263639526,1
1277476865,1263639526,7
1527591032,1263639526,1
1699653123,1263639526,1
1671964902,1263639526,3
1693899968,1263639526,1
1277512758,1263639526,1
1246808889,1263639526,1
1358545890,1263639526,25
1459268314,1263639526,1
1321097837,1263639526,1
1278100405,1263639526,1
1485461318,1263639526,2
1187228866,1263639526,3
1464667483,1263639526,11
1334690149,1263639526,7
1527646630,1263639526,1
1471677550,1263639526,1
1672533217,1263639526,1
1425084649,1263639526,4
1455051484,1263639526,1
1314838603,1263639526,1
1326329344,1263639526,7
1200497997,1263639526,1
1283461938,1263639526,32
1309429135,1263639526,1
1279884824,1263639526,9
1745031598,1263639526,2
1491532249,1263639526,7
1617013656,1263639526,3
1882870017,1263639526,7
1599629993,1263639526,1
1265370757,1263639526,19
1288641123,1263639526,1
1694032422,1263639526,1
1892234482,1263639526,1
1752208954,1263639526,2
1440826143,1263639526,4
1155198469,1263639526,2
1362144387,1263639526,1
1340072552,1263639526,1
1482198482,1263639526,1
1161242532,1263639526,1
1252056510,1263639526,5
1274717783,1263639526,1
1216512717,1263639526,2
1404963236,1263639526,1
1379194026,1263639526,1
1660853432,1263639526,5
1220774219,1263639526,7
1389728137,1263639526,9
1330998153,1263639526,1
1573612532,1263639526,1
1522484691,1263639526,3
1178784302,1263639526,1
1123657266,1263639526,3
1303089864,1263639526,64
1308954936,1263639526,8
